startTime,blockName,league,match_id,type,team_1_name,team_1_code,team_1_result,team_2_name,team_2_code,team_2_result,format,games
2024-03-16T08:30:00Z,Week 8,LCK,111561337007305553,normal,kt Rolster,KT,2,DRX,DRX,1,bestOf_3,"[['111561337007305554', [{'parameter': '119224319'}]], ['111561337007305555', [{'parameter': '119224319'}]], ['111561337007305556', [{'parameter': '119224319'}]]]"
2024-03-17T06:00:00Z,Week 8,LCK,111561337007305625,normal,OKSavingsBank BRION,BRO,1,NongShim REDFORCE,NS,2,bestOf_3,"[['111561337007305626', [{'parameter': '119299007'}]], ['111561337007305627', [{'parameter': '119299007'}]], ['111561337007305628', [{'parameter': '119299007'}]]]"
2024-03-17T08:30:00Z,Week 8,LCK,111561337007305577,normal,Dplus Kia,DK,1,Gen.G,GEN,2,bestOf_3,"[['111561337007305578', [{'parameter': '119322429'}]], ['111561337007305579', [{'parameter': '119322429'}]], ['111561337007305580', [{'parameter': '119322429'}]]]"
2024-03-20T08:00:00Z,Week 9,LCK,111561337007305545,normal,DRX,DRX,0,Gen.G,GEN,2,bestOf_3,"[['111561337007305546', [{'parameter': '119579383'}]], ['111561337007305547', [{'parameter': '119579383'}]], ['111561337007305548', []]]"
2024-03-20T10:30:00Z,Week 9,LCK,111561337007371249,normal,NongShim REDFORCE,NS,0,T1,T1,2,bestOf_3,"[['111561337007371250', [{'parameter': '119596191'}]], ['111561337007371251', [{'parameter': '119596191'}]], ['111561337007371252', []]]"
2024-03-21T08:00:00Z,Week 9,LCK,111561337007305657,normal,kt Rolster,KT,1,Hanwha Life Esports,HLE,2,bestOf_3,"[['111561337007305658', [{'parameter': '119676891'}]], ['111561337007305659', [{'parameter': '119676891'}]], ['111561337007305660', [{'parameter': '119676891'}]]]"
2024-03-21T10:30:00Z,Week 9,LCK,111561337007305589,normal,Dplus Kia,DK,0,Kwangdong Freecs,KDF,2,bestOf_3,"[['111561337007305590', [{'parameter': '119694393'}]], ['111561337007305591', [{'parameter': '119694393'}]], ['111561337007305592', []]]"
2024-03-22T08:00:00Z,Week 9,LCK,111561337007305605,normal,Gen.G,GEN,2,OKSavingsBank BRION,BRO,0,bestOf_3,"[['111561337007305606', [{'parameter': '119764383'}]], ['111561337007305607', [{'parameter': '119764383'}]], ['111561337007305608', []]]"
2024-03-22T10:30:00Z,Week 9,LCK,111561337007371241,normal,NongShim REDFORCE,NS,2,FearX,FOX,1,bestOf_3,"[['111561337007371242', [{'parameter': '119783577'}]], ['111561337007371243', [{'parameter': '119783577'}]], ['111561337007371244', [{'parameter': '119783577'}]]]"
2024-03-23T06:00:00Z,Week 9,LCK,111561337007305581,normal,Hanwha Life Esports,HLE,2,Dplus Kia,DK,0,bestOf_3,"[['111561337007305582', [{'parameter': '119847079'}]], ['111561337007305583', [{'parameter': '119847079'}]], ['111561337007305584', []]]"
